id,filepath,title,source_url,license,format,domain,release_date,filesize_kb,checksum,notes
dataset0001,/data/raw/wahl_20241003_214746.csv,Nationalratswahl 2024,https://www.data.gv.at/datasets/e40e3b00-1a98-4338-acb7-42547e6fee55?locale=de,CC BY 4.0,csv,Politics,9/23/24,182,8fe77d6204ec17fc9eab12f176322bee7fb490279ac4adc7de6548195987493b,
dataset0002,/data/raw/bundestagswahl2025.csv,Bundestagswahl 2025,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse/opendata/btw25/csv/kerg.csv,DL-DE->BY-2.0,csv,Politics,3/14/25,166,f6f9e87792fe01474cff516c87b86e57d8522b1047289c32ded4a56acacf6c3a,
dataset0003,/data/raw/era1000.csv,Polkadot Election Data,https://github.com/n-boehmer/ABC-practice-Polkadot/blob/main/pol_elections/era1000.txt,MIT,csv,Blockchain,12/16/23,4300,4a739451be382f277e0a20325124ce1c1e0c46ebc0140b4c9fd4d7dbaead6596,
dataset0004,/data/raw/eurovision.csv,Eurovision Voting,https://github.com/Spijkervet/eurovision-dataset/releases,"freely available with citation, no license specified",csv,Music,11/9/23,2300,3b8cc72b81a63ea63788b711248b5f23544b6e3778d8a3a4e976309c69adedf7,
dataset0005,/data/raw/eidgAbstimmung.json,Swiss referendum,https://ogd-static.voteinfo-app.ch/v1/ogd/sd-t-17-02-20250928-eidgAbstimmung.json,Open use. Must provide the source. Use for commercial purposes requires permission of the data owner.,json,Politics,10/23/25,2100,9a8d4678917ff35eb7612034bc055d27c1e81ced65f5b5e09d1e0abb1b4b41cb,"data is in four languages: english, german, french, italian"
dataset0006,/data/raw/appropriation_requirement.csv,USCIS Decisions,https://www.uscis.gov/sites/default/files/document/data/appropriation_requirement_september%202025.csv,"Under U.S. law (17 U.S.C. section 105), works created by the federal government are not subject to copyright",csv,Immigration,10/21/25,4,7252cecb0daa79305508e206723d3a50ac12765ba2be74b067610c7b186e8146,
dataset0007,restricted,University World Rankings,https://www.kaggle.com/datasets/mylesoneill/world-university-rankings,individual,csv,Education,2012,186,657a9d8b94c500927d4d9f565ba148971cd0c56e7a53d1d4bae3427706de0bce,
dataset0008,restricted,Sushi Preferences,https://www.kamishima.net/sushi/,individual,custom text,Food,12/29/15,125,c56da325c0f58f9a38bafc650ed699b48dd2fb9f6ad64ba61ffc288d1ae4cc24,
dataset0009,/data/raw/Student_Behavior.csv,Student Preferences,https://www.opendatabay.com/data/science-research/7bc80540-5848-4ab1-943e-54175219f991,CC0 Public Domain,csv,Education,2/8/25,29,8bbd3cfb11f6c00d11771c6184a98c1f7e5586e5160e8b43a1578a44b971c288,
dataset0010,restricted,AI Output Preferences,https://huggingface.co/datasets/Dahoas/instruct_helpful_preferences,not specified,parquet,AI,3/1/23,9900,,